Product,Attributes,
Garlic,White Garlic - Pure,
Garlic,White Garlic - Normal,
Garlic,Conventional,
Garlic,Elephant Garlic,
Garlic,Other - Solo Garlic,
Garlic,Other - Black Garlic,
Garlic,Spring Garlic - Violet (= Purple),
Garlic,Chopped,
Garlic,Granules,
Garlic,Pulp,
Garlic,Dried - Sulphured,
Garlic,Puree,
Garlic,Paste,
Garlic,Caton Box - Telescopic,
Garlic,Caton Box - Open Top,
Garlic,Plastic Punnets (=Clamshells),
Garlic,Crates & Bins,
Garlic,Foodtainer & Tray,
Garlic,Carry Bags,
Garlic,Wooden Box,
Garlic,Carton Box (=Cardboard Box),
Garlic,As per customer's request,
Garlic,PP Bags,
Garlic,Drums,
Garlic,Mesh Bags (=Nets),
Garlic,Plastic Box,
Garlic,Spring Garlic (= Green Garlic),
Garlic,Black,
Garlic,Strip,
Garlic,Dried - Sun Dried,
Garlic,Halves,
Garlic,Split,
Garlic,Red Garlic,
Garlic,White Garlic,
Garlic,Extract,
Garlic,Crushed,
Garlic,Flakes,
Garlic,Powder,
Garlic,Filament,
Garlic,Sliced,
Garlic,Sticks,
Garlic,Diced,
Garlic,Cube,
Garlic,Chips,
Garlic,Block,
Garlic,Ball,
Garlic,Peeled,
Garlic,Tuber,
Garlic,Leaf,
Garlic,Root,
Garlic,Sprout,
Garlic,Stem,
Garlic,Whole,
Garlic,GMO,
Garlic,Organic,
Garlic,Non-GMO,
Garlic,Fresh (=Chilled),
Garlic,Frozen,
Garlic,Frozen - IQF,
Garlic,Frozen - BQF,
Garlic,Dried (=Dehydrated),
Garlic,Dried - AD (Air Drying),
Garlic,Dried - SD (Spray Drying),
Garlic,Dried - FD (Freeze Drying),
Garlic,Dried - VD (Vacuum Drying),
Garlic,Dried - VF (Vibrofluidized Bed Drying),
Cocoa Bean,Roasted - Salted,
Cocoa Bean,Fermented,
Cocoa Bean,Whole Beans,
Cocoa Bean,Dried,
Cocoa Bean,Cocoa Nibs (=Cacao Nibs),
Cocoa Bean,PP Bags,
Cocoa Bean,Dark Brown,
Cocoa Bean,Jute Sack (Jute Bags),
Cocoa Bean,Organic,
Cocoa Bean,Non-organic,
Cocoa Bean,Trinitario Cocoa,
Cocoa Bean,Criollo Cocoa,
Cocoa Bean,Forastero Cocoa,
Cocoa Bean,Roasted,
Cocoa Bean,Raw (=Natural),
Jackfruit,Conventional,
Jackfruit,Flowpack,
Jackfruit,Strips,
Jackfruit,Sliced - Rings,
Jackfruit,Crumble & Pieces,
Jackfruit,Whole & Broken,
Jackfruit,Caton Box - Telescopic,
Jackfruit,Caton Box - Open Top,
Jackfruit,Plastic Punnets (=Clamshells),
Jackfruit,Crates & Bins,
Jackfruit,Foodtainer & Tray,
Jackfruit,Plastic Box,
Jackfruit,Carry Bags,
Jackfruit,Wooden Box,
Jackfruit,Extract,
Jackfruit,Pitted,
Jackfruit,Carton Box (=Cardboard Box),
Jackfruit,As per customer's request,
Jackfruit,PP Bags,
Jackfruit,Mesh Bags (=Nets),
Jackfruit,Dried - Sun Dried,
Jackfruit,Drums,
Jackfruit,Kernel (Nut),
Jackfruit,Diced,
Jackfruit,Paste,
Jackfruit,Concentrate,
Jackfruit,Puree,
Jackfruit,Pulp,
Jackfruit,Powder,
Jackfruit,Peeled,
Jackfruit,Crushed,
Jackfruit,Chips,
Jackfruit,Flakes,
Jackfruit,Sliced,
Jackfruit,Cubes,
Jackfruit,Quarters,
Jackfruit,Chunks,
Jackfruit,Segments,
Jackfruit,Halves,
Jackfruit,Whole,
Jackfruit,Non-GMO,
Jackfruit,Organic,
Jackfruit,GMO,
Jackfruit,Dried - VF (Vibrofluidized Bed Drying),
Jackfruit,Dried - VD (Vacuum Drying),
Jackfruit,Dried - FD (Freeze Drying),
Jackfruit,Dried - SD (Spray Drying),
Jackfruit,Dried - AD (Air Drying),
Jackfruit,Dried,
Jackfruit,Frozen - BQF,
Jackfruit,Frozen - IQF,
Jackfruit,Frozen,
Jackfruit,Fresh (=Chilled),
Onion,Cut,
Onion,Minced,
Onion,Conventional,
Onion,Frozen - Blast Frozen,
Onion,Other Onion,
Onion,Red Onion - Red Delicious,
Onion,Red Onion - Salad Red,
Onion,Red Onion - Giant Red Hamburger,
Onion,Yellow Onion - Spanish Onion,
Onion,Yellow Onion - Texas Supersweet (Sweet Onion),
Onion,Yellow Onion - Granex Yellow Hybrid (Sweet Onion),
Onion,White Onion - White Granex,
Onion,White Onion - White White,
Onion,White Onion - Snow White Hybrid,
Onion,Chopped,
Onion,Granules,
Onion,Pulp,
Onion,Dried - Sulphured,
Onion,Puree,
Onion,Paste,
Onion,Caton Box - Telescopic,
Onion,Caton Box - Open Top,
Onion,Plastic Punnets (=Clamshells),
Onion,Crates & Bins,
Onion,Foodtainer & Tray,
Onion,Plastic Box,
Onion,Carry Bags,
Onion,Wooden Box,
Onion,Carton Box (=Cardboard Box),
Onion,PP Bags,
Onion,Drums,
Onion,Mesh Bags (=Nets),
Onion,As per customer's request,
Onion,RIngs,
Onion,Yellow,
Onion,Strip,
Onion,Dried - Sun Dried,
Onion,Halves,
Onion,Other Onion - Rose Onion,
Onion,Split,
Onion,Other - Crimsun Pink Onion,
Onion,Extract,
Onion,White,
Onion,Pink,
Onion,Pink Onion,
Onion,Yellow Onion - Texas Early Grano (Sweet Onion),
Onion,Red,
Onion,Crushed,
Onion,Flakes,
Onion,Powder,
Onion,Filament,
Onion,Sliced,
Onion,Sticks,
Onion,Diced,
Onion,Cube,
Onion,Chips,
Onion,Block,
Onion,Ball,
Onion,Peeled,
Onion,Tuber,
Onion,Leaf,
Onion,Root,
Onion,Sprout,
Onion,Stem,
Onion,Whole,
Onion,GMO,
Onion,Organic,
Onion,Non-GMO,
Onion,Fresh (=Chilled),
Onion,Frozen - IQF,
Onion,Frozen - BQF,
Onion,Dried - AD (Air Drying),
Onion,Dried - SD (Spray Drying),
Onion,Dried - FD (Freeze Drying),
Onion,Dried - VD (Vacuum Drying),
Onion,Dried - VF (Vibrofluidized Bed Drying),
Onion,Yellow Onion - Cipollini Onions,
Onion,Yellow Onion - Walla Walla (Sweet Onion),
Onion,Red Onion (=Purple Onion),
